sample_id,step,t,w_t,tau,scale_0_sigma,scale_0_loss,scale_0_target_std_mean,scale_1_sigma,scale_1_loss,scale_1_target_std_mean,scale_2_sigma,scale_2_loss,scale_2_target_std_mean,property_loss,property_mae_mean,confidence_fraction,soft_class_entropy_confident_mean,predicted_property_min,predicted_property_max,raw_grad_norm,used_grad_norm,prior_velocity_norm,guidance_velocity_norm,guided_velocity_norm,requested_guidance_ratio,used_guidance_ratio,uncapped_guidance_ratio,guidance_cap_fraction,guidance_gradient_reference_norm,guidance_gradient_reference_ratio,effective_guidance_ratio,continuous_step_norm,condition_projection_norm,initial_condition_projection_norm,pre_projection_condition_violations,post_projection_condition_violations,hard_change_count,hard_change_fraction,hard_change_inside_confidence,hard_change_outside_confidence,alpha,property_loss_mode,guidance_scaling_mode,guidance_reference_policy
0,0,0.015625,0.0,0.49975909124103446,0.0,872186118144.0,9.999999974752427e-07,1.5,439132.5,0.0014085600851103663,3.0,22196.61328125,0.006262081675231457,436093190144.0,0.9332279562950134,0.08468246459960938,2.578413963317871,0.010672674514353275,0.3786771595478058,0.0,0.0,1774.0172119140625,0.0,1774.0172119140625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.41749572753906,1.5090961456298828,1052.6422119140625,0,0,884,0.0033721923828125,91,793,0.0,matched_multiscale_normalized_mse_v1,reference_norm_relative_v2,first_nonzero_active_used_gradient_norm_per_sample_v1
0,1,0.046875,0.0,0.4978353019929562,0.0,872286584832.0,9.999999974752427e-07,1.5,439180.4375,0.0014085600851103663,3.0,22199.103515625,0.006262081675231457,436143423488.0,0.9332771301269531,0.08468246459960938,2.577430486679077,0.010603305883705616,0.3806283175945282,0.0,0.0,1772.648681640625,0.0,1772.648681640625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.37278747558594,1.5783014297485352,0.0,0,0,934,0.00356292724609375,125,809,0.0,matched_multiscale_normalized_mse_v1,reference_norm_relative_v2,first_nonzero_active_used_gradient_norm_per_sample_v1
0,2,0.078125,0.0,0.4940062506389088,0.0,872405598208.0,9.999999974752427e-07,1.5,439233.46875,0.0014085600851103663,3.0,22201.875,0.006262081675231457,436202930176.0,0.9333306550979614,0.08468246459960938,2.575451612472534,0.010454541072249413,0.3845687210559845,0.0,0.0,1772.3026123046875,0.0,1772.3026123046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.361698150634766,1.5875779390335083,0.0,0,0,1124,0.0042877197265625,125,999,0.0,matched_multiscale_normalized_mse_v1,reference_norm_relative_v2,first_nonzero_active_used_gradient_norm_per_sample_v1
0,3,0.109375,0.0,0.4883088130366042,0.0,872535162880.0,9.999999974752427e-07,1.5,439287.46875,0.0014085600851103663,3.0,22204.751953125,0.006262081675231457,436267712512.0,0.9333841800689697,0.08468246459960938,2.5724267959594727,0.01022751908749342,0.3905751705169678,0.0,0.0,1770.861328125,0.0,1770.861328125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.316104888916016,1.606126070022583,0.0,0,0,1160,0.004425048828125,151,1009,0.0,matched_multiscale_normalized_mse_v1,reference_norm_relative_v2,first_nonzero_active_used_gradient_norm_per_sample_v1
0,4,0.140625,0.0,0.48079785862468866,0.0,872648933376.0,9.999999974752427e-07,1.5,439328.6875,0.0014085600851103663,3.0,22207.12109375,0.006262081675231457,436324597760.0,0.9334225654602051,0.08468246459960938,2.5682806968688965,0.009925220161676407,0.3987639844417572,0.0,0.0,1770.703125,0.0,1770.703125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.310909271240234,1.6145830154418945,0.0,0,0,1327,0.005062103271484375,161,1166,0.0,matched_multiscale_normalized_mse_v1,reference_norm_relative_v2,first_nonzero_active_used_gradient_norm_per_sample_v1
0,5,0.171875,0.0,0.4715457220000544,0.0,872731049984.0,9.999999974752427e-07,1.5,439349.0625,0.0014085600851103663,3.0,22208.650390625,0.006262081675231457,436365656064.0,0.9334365725517273,0.08468246459960938,2.5629093647003174,0.009550930000841618,0.40929174423217773,0.0,0.0,1770.73828125,0.0,1770.73828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.31205368041992,1.613152265548706,0.0,0,0,1469,0.005603790283203125,179,1290,0.0,matched_multiscale_normalized_mse_v1,reference_norm_relative_v2,first_nonzero_active_used_gradient_norm_per_sample_v1
0,6,0.203125,0.0,0.460641506296129,0.0,872762507264.0,9.999999974752427e-07,1.5,439339.09375,0.0014085600851103663,3.0,22208.9140625,0.006262081675231457,436381384704.0,0.9334150552749634,0.08468246459960938,2.5561742782592773,0.009109852835536003,0.4223563075065613,0.0,0.0,1770.00244140625,0.0,1770.00244140625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.289119720458984,1.610612392425537,0.0,0,0,1682,0.00641632080078125,198,1484,0.0,matched_multiscale_normalized_mse_v1,reference_norm_relative_v2,first_nonzero_active_used_gradient_norm_per_sample_v1
0,7,0.234375,0.0,0.4481902250709918,0.0,872766046208.0,9.999999974752427e-07,1.5,439310.5625,0.0014085600851103663,3.0,22208.53125,0.006262081675231457,436383154176.0,0.9333687424659729,0.08468246459960938,2.5478971004486084,0.008607260882854462,0.43819504976272583,0.0,0.0,1771.1522216796875,0.0,1771.1522216796875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.32591247558594,1.5811798572540283,0.0,0,0,2020,0.0077056884765625,230,1790,0.0,matched_multiscale_normalized_mse_v1,reference_norm_relative_v2,first_nonzero_active_used_gradient_norm_per_sample_v1
0,8,0.265625,0.06540312923014306,0.43431179096940364,0.0,872761131008.0,9.999999974752427e-07,1.5,439272.15625,0.0014085600851103663,3.0,22207.951171875,0.006262081675231457,436380696576.0,0.9333067536354065,0.08468246459960938,2.537848949432373,0.008048300631344318,0.4570808708667755,0.0,0.0,1774.6231689453125,0.0,1774.6231689453125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.43508529663086,1.557940125465393,0.0,0,0,2170,0.00827789306640625,244,1926,0.0,matched_multiscale_normalized_mse_v1,reference_norm_relative_v2,first_nonzero_active_used_gradient_norm_per_sample_v1
0,9,0.296875,0.19509032201612825,0.4191398608984867,0.0,872770306048.0,9.999999974752427e-07,1.5,439232.40625,0.0014085600851103663,3.0,22207.5859375,0.006262081675231457,436385284096.0,0.9332391619682312,0.08468246459960938,2.525739908218384,0.007431700825691223,0.47931140661239624,0.0,0.0,1774.79736328125,0.0,1774.79736328125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.44101333618164,1.5406607389450073,0.0,0,0,2600,0.009918212890625,313,2287,0.0,matched_multiscale_normalized_mse_v1,reference_norm_relative_v2,first_nonzero_active_used_gradient_norm_per_sample_v1
