sample_id,class_id,truth_present,truth_volume,predicted_volume,volume_error,absolute_volume_error_fraction,iou,precision,recall
0,0,False,0,291,291,nan,0.0,0.0,nan
0,1,True,45273,36154,-9119,0.20142248139067434,0.41760097493036213,0.6634673895004702,0.5298301415854925
0,2,True,24520,22811,-1709,0.06969820554649266,0.7116045275376993,0.8626539827276314,0.8025285481239804
0,3,True,14533,5425,-9108,0.6267116218261887,0.15250909510885258,0.4868202764976958,0.18172435147595128
0,4,True,73801,93148,19347,0.26215091936423623,0.5393530897892194,0.6279791299866878,0.7926044362542513
0,5,True,18902,32984,14082,0.7450005290445455,0.25817793835932007,0.32279286926994905,0.563273727647868
0,6,True,11543,280,-11263,0.9757428744693754,0.014153371075656201,0.5892857142857143,0.014294377544832365
0,7,False,0,0,0,nan,nan,nan,nan
0,8,False,0,0,0,nan,nan,nan,nan
0,9,True,8968,6283,-2685,0.2993978590544157,0.02859647939569704,0.0674836861371956,0.04727921498661909
0,10,False,0,161,161,nan,0.0,0.0,nan
0,11,False,0,18,18,nan,0.0,0.0,nan
0,12,False,0,0,0,nan,nan,nan,nan
0,13,True,15,0,-15,1.0,0.0,nan,0.0
1,0,False,0,237,237,nan,0.0,0.0,nan
1,1,True,45273,36104,-9169,0.20252689240827867,0.4231226609772306,0.6701473520939508,0.5344244914187264
1,2,True,24520,22988,-1532,0.062479608482871124,0.7089208633093526,0.8573168609709414,0.8037520391517129
1,3,True,14533,5234,-9299,0.6398541250946123,0.14911056853854204,0.4900649598777226,0.17649487373563613
1,4,True,73801,93031,19230,0.2605655749922088,0.5441688263606071,0.6319613892143479,0.7966287719678595
1,5,True,18902,32894,13992,0.7402391281345889,0.2584979468863134,0.32343284489572566,0.5628504920114273
1,6,True,11543,249,-11294,0.9784284847959802,0.012275731822474031,0.5742971887550201,0.012388460538854717
1,7,False,0,0,0,nan,nan,nan,nan
1,8,False,0,1,1,nan,0.0,0.0,nan
1,9,True,8968,6624,-2344,0.26137377341659235,0.03210432249950354,0.07321859903381643,0.05408117752007136
1,10,False,0,176,176,nan,0.0,0.0,nan
1,11,False,0,15,15,nan,0.0,0.0,nan
1,12,False,0,0,0,nan,nan,nan,nan
1,13,True,15,0,-15,1.0,0.0,nan,0.0
