sample_id,step,t,w_t,tau,probability_loss,probability_base_loss,probability_bce,probability_dice_loss,probability_dice_score,probability_soft_calibration_mae,loss_positive_scale,loss_negative_scale,roi_hard_core_probability_mean,roi_background_probability_mean,roi_soft_halo_probability_mean,roi_soft_halo_target_mean,probability_spatial_gradient_loss,roi_spatial_gradient_error_mean,roi_predicted_gradient_mean,roi_target_gradient_mean,roi_target_probability_mean,roi_soft_margin_mean,roi_entropy_mean,raw_grad_norm,used_grad_norm,prior_velocity_norm,guidance_velocity_norm,guided_velocity_norm,requested_guidance_ratio,used_guidance_ratio,uncapped_guidance_ratio,guidance_cap_fraction,guidance_gradient_reference_norm,guidance_gradient_reference_ratio,effective_guidance_ratio,continuous_step_norm,condition_projection_norm,initial_condition_projection_norm,pre_projection_condition_violations,post_projection_condition_violations,hard_change_count,hard_change_fraction,hard_change_inside_roi,hard_change_outside_roi,target_hard_voxels_before,target_hard_voxels_after,selected_target_recovered_after,alpha,spatial_gradient_weight,probability_loss_mode,guidance_scaling_mode,case_id,source_seed,arm
0,0,0.015625,0.0,0.49975909124103446,1.067346453666687,1.067346453666687,0.14033891260623932,0.9270075559616089,0.07299241423606873,0.06983915716409683,1.0,1.0,0.06635835766792297,0.0667259618639946,0.06686899065971375,0.044138506054878235,0.0,0.0,0.0,0.0,0.06672339141368866,-0.08343593776226044,2.578249216079712,0.0,0.0,1821.758056640625,0.0,1821.758056640625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.918582916259766,1.1369664669036865,936.8802490234375,0,0,811,0.003093719482421875,811,0,13817,13802,135,0.25,0.0,calibrated_soft_bce_hard_dice_v2,reference_norm_relative_v2,fullgeo_case02,9311000,GEO_PROB_GUIDED
0,1,0.046875,0.0,0.4978353019929562,1.0673718452453613,1.0673718452453613,0.14033828675746918,0.9270336031913757,0.07296641170978546,0.06982678174972534,1.0,1.0,0.06637273728847504,0.06670673936605453,0.06687472760677338,0.044138506054878235,0.0,0.0,0.0,0.0,0.0667044073343277,-0.0838688537478447,2.577265739440918,0.0,0.0,1820.8419189453125,0.0,1820.8419189453125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.88888168334961,1.1894299983978271,0.0,0,0,915,0.003490447998046875,915,0,13802,13784,135,0.25,0.0,calibrated_soft_bce_hard_dice_v2,reference_norm_relative_v2,fullgeo_case02,9311000,GEO_PROB_GUIDED
0,2,0.078125,0.0,0.4940062506389088,1.0674678087234497,1.0674678087234497,0.14036712050437927,0.927100658416748,0.07289937138557434,0.0698280781507492,1.0,1.0,0.06640816479921341,0.06669097393751144,0.06689026951789856,0.044138506054878235,0.0,0.0,0.0,0.0,0.06668899953365326,-0.0847088098526001,2.575284242630005,0.0,0.0,1820.0413818359375,0.0,1820.0413818359375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.86391830444336,1.1862839460372925,0.0,0,0,1042,0.00397491455078125,1042,0,13784,13778,133,0.25,0.0,calibrated_soft_bce_hard_dice_v2,reference_norm_relative_v2,fullgeo_case02,9311000,GEO_PROB_GUIDED
0,3,0.109375,0.0,0.4883088130366042,1.0676475763320923,1.0676475763320923,0.1404295265674591,0.9272180199623108,0.07278196513652802,0.06984736025333405,1.0,1.0,0.06646531820297241,0.06668636947870255,0.06692782789468765,0.044138506054878235,0.0,0.0,0.0,0.0,0.06668482720851898,-0.08596394956111908,2.572256088256836,0.0,0.0,1818.099853515625,0.0,1818.099853515625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.80308532714844,1.1934484243392944,0.0,0,0,1145,0.004367828369140625,1145,0,13778,13786,132,0.25,0.0,calibrated_soft_bce_hard_dice_v2,reference_norm_relative_v2,fullgeo_case02,9311000,GEO_PROB_GUIDED
0,4,0.140625,0.0,0.48079785862468866,1.067915916442871,1.067915916442871,0.1405327469110489,0.9273831248283386,0.07261686027050018,0.06989263743162155,1.0,1.0,0.06656216830015182,0.06670558452606201,0.06700552999973297,0.044138506054878235,0.0,0.0,0.0,0.0,0.06670457869768143,-0.08764258027076721,2.568105697631836,0.0,0.0,1818.2320556640625,0.0,1818.2320556640625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.8072395324707,1.1925499439239502,0.0,0,0,1292,0.0049285888671875,1292,0,13786,13832,134,0.25,0.0,calibrated_soft_bce_hard_dice_v2,reference_norm_relative_v2,fullgeo_case02,9311000,GEO_PROB_GUIDED
0,5,0.171875,0.0,0.4715457220000544,1.068272352218628,1.068272352218628,0.14067886769771576,0.927593469619751,0.07240655273199081,0.06996428966522217,1.0,1.0,0.06670722365379333,0.06674819439649582,0.06712264567613602,0.044138506054878235,0.0,0.0,0.0,0.0,0.06674791127443314,-0.08977723866701126,2.5627286434173584,0.0,0.0,1818.47314453125,0.0,1818.47314453125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.814788818359375,1.1918078660964966,0.0,0,0,1506,0.00574493408203125,1506,0,13832,13873,134,0.25,0.0,calibrated_soft_bce_hard_dice_v2,reference_norm_relative_v2,fullgeo_case02,9311000,GEO_PROB_GUIDED
0,6,0.203125,0.0,0.460641506296129,1.0687446594238281,1.0687446594238281,0.140880286693573,0.9278644323348999,0.07213558256626129,0.07007194310426712,1.0,1.0,0.06690451502799988,0.06682516634464264,0.06729242205619812,0.044138506054878235,0.0,0.0,0.0,0.0,0.06682571768760681,-0.09239731729030609,2.555988311767578,0.0,0.0,1818.382080078125,0.0,1818.382080078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.811954498291016,1.1910749673843384,0.0,0,0,1696,0.0064697265625,1696,0,13873,13949,134,0.25,0.0,calibrated_soft_bce_hard_dice_v2,reference_norm_relative_v2,fullgeo_case02,9311000,GEO_PROB_GUIDED
0,7,0.234375,0.0,0.4481902250709918,1.0693479776382446,1.0693479776382446,0.14113934338092804,0.9282086491584778,0.07179134339094162,0.0702114850282669,1.0,1.0,0.0671437606215477,0.0669255256652832,0.0675010159611702,0.044138506054878235,0.0,0.0,0.0,0.0,0.06692705303430557,-0.09557094424962997,2.5477068424224854,0.0,0.0,1819.8946533203125,0.0,1819.8946533203125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.85959243774414,1.1738080978393555,0.0,0,0,1963,0.007488250732421875,1963,0,13949,14049,137,0.25,0.0,calibrated_soft_bce_hard_dice_v2,reference_norm_relative_v2,fullgeo_case02,9311000,GEO_PROB_GUIDED
0,8,0.265625,0.06540312923014306,0.43431179096940364,1.070085883140564,1.070085883140564,0.14145824313163757,0.928627610206604,0.07137240469455719,0.07037950307130814,1.0,1.0,0.06743224710226059,0.06704302877187729,0.06774432212114334,0.044138506054878235,0.0,0.0,0.0,0.0,0.06704574823379517,-0.09937545657157898,2.5376574993133545,0.001831292873248458,0.001831292873248458,1822.4757080078125,29.798738479614258,1822.7750244140625,0.016350782307535765,0.01635078154504299,0.01635078154504299,0.0,0.001831292873248458,1.0,0.01635069213807583,56.949886322021484,1.1609690189361572,0.0,0,0,2319,0.008846282958984375,2319,0,14049,14152,151,0.25,0.0,calibrated_soft_bce_hard_dice_v2,reference_norm_relative_v2,fullgeo_case02,9311000,GEO_PROB_GUIDED
0,9,0.296875,0.19509032201612825,0.4191398608984867,1.0691124200820923,1.0691124200820923,0.1417444497346878,0.9273679256439209,0.07263204455375671,0.07055763900279999,1.0,1.0,0.06946685165166855,0.06717442721128464,0.06802960485219955,0.044138506054878235,0.0,0.0,0.0,0.0,0.06719044595956802,-0.10388951003551483,2.5255587100982666,0.0020193904638290405,0.0020193904638290405,1822.3212890625,98.00788116455078,1825.1729736328125,0.04877258050403206,0.053782157599925995,0.053782157599925995,0.0,0.001831292873248458,1.1027129888534546,0.053781889379024506,57.02540588378906,1.1328351497650146,0.0,0,0,2571,0.009807586669921875,2571,0,14152,14198,199,0.25,0.0,calibrated_soft_bce_hard_dice_v2,reference_norm_relative_v2,fullgeo_case02,9311000,GEO_PROB_GUIDED
