level,control,step,temperature,soft_loss,hard_loss,soft_baseline_loss,hard_baseline_loss,truth_loss,soft_attainment,hard_attainment,soft_distance_to_baseline,soft_distance_to_truth,soft_distance_baseline_to_truth,soft_closer_to,soft_truth_direction_fraction,soft_orthogonal_response_fraction,hard_distance_to_baseline,hard_distance_to_truth,hard_distance_baseline_to_truth,hard_closer_to,hard_truth_direction_fraction,hard_orthogonal_response_fraction,raw_gradient_norm,gradient_norm_before_clip,actual_update_norm,cosine_negative_gradient_oracle_state_direction,directional_derivative_along_oracle,pre_projection_soft_loss,post_projection_soft_loss,pre_projection_hard_loss,post_projection_hard_loss,condition_projection_change_norm,projection_erasure_fraction,hard_label_flip_count,gradient_hidden_energy_fraction,gradient_fixed_drilled_energy_fraction,gradient_condition_energy_fraction,gradient_unconstrained_background_energy_fraction,gradient_outside_all_target_rois_energy_fraction,applied_update_hidden_energy_fraction,applied_update_fixed_drilled_energy_fraction,applied_update_condition_energy_fraction,applied_update_unconstrained_background_energy_fraction,applied_update_outside_all_target_rois_energy_fraction,hard_crossing_count,hard_crossing_rate,crossing_into_target,crossing_out_of_target,crossing_into_wrong_class,similarity_margin_mean,entropy_mean,target_probability_change_mean,margin_near_voxel_count,margin_near_target_probability_change_mean,margin_near_crossing_rate,margin_medium_voxel_count,margin_medium_target_probability_change_mean,margin_medium_crossing_rate,margin_high_voxel_count,margin_high_target_probability_change_mean,margin_high_crossing_rate,hard_flip_into_raw_label_-1,hard_flip_into_raw_label_0,hard_flip_into_raw_label_1,hard_flip_into_raw_label_2,hard_flip_into_raw_label_3,hard_flip_into_raw_label_4,hard_flip_into_raw_label_5,hard_flip_into_raw_label_6,hard_flip_into_raw_label_7,hard_flip_into_raw_label_8,hard_flip_into_raw_label_9,hard_flip_into_raw_label_10,hard_flip_into_raw_label_11,hard_flip_into_raw_label_12,hard_flip_into_raw_label_13,valid_interface_count,in_recording_window_interface_count,out_of_window_interface_count,cropped_interface_fraction,time_sample_boundary_distance_mean,reflectivity_rmse,arrival_twt_rmse_ms,deposited_spike_rmse,wavelet_amplitude_rmse
probability,correct,1,0.5,0.009122850373387337,0.0048828125,0.009235618636012077,0.0048828125,0.0,0.012210147156253057,0.0,0.6312802121091773,48.902970756741134,49.20428736766125,baseline,0.006187338970626203,0.011239221815634099,0.0,35.77708763999664,35.77708763999664,baseline,0.0,0.0,2.604390465421602e-05,2.6043902835226618e-05,8.256363868713379,0.6044176816940308,-0.0008244131458923221,0.009122850373387337,0.009122850373387337,0.0048828125,0.0048828125,0.0,0.0,0,0.7868445234480322,0.0,0.0,0.21315547655196754,0.21315547655196754,0.07408451946499503,0.0,0.0,0.925915480535005,0.925915480535005,0,0.0,0,0,0,1.0714287757873535,2.303640365600586,-0.0015109825180843472,0,nan,nan,0,nan,nan,161920,-0.0015109825180843472,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
probability,correct,2,0.5,0.009014190174639225,0.0048828125,0.009235618636012077,0.0048828125,0.0,0.023975487739331853,0.0,1.2328831432658673,48.6108605333392,49.20428736766125,baseline,0.012301654601800454,0.02182872712148981,0.0,35.77708763999664,35.77708763999664,baseline,0.0,0.0,2.698175194382202e-05,2.698175194382202e-05,8.12005615234375,0.5633859038352966,-0.0007984384428709745,0.009014190174639225,0.009014190174639225,0.0048828125,0.0048828125,0.0,0.0,0,0.8289703264102538,0.0,0.0,0.17102967358974597,0.17102967358974597,0.07976066511304297,0.0,0.0,0.9202393348869569,0.9202393348869569,0,0.0,0,0,0,1.0695751905441284,2.3038594722747803,-0.0014279787428677082,0,nan,nan,0,nan,nan,161920,-0.0014279787428677082,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
probability,correct,3,0.5,0.008908834308385849,0.0048828125,0.009235618636012077,0.0048828125,0.0,0.03538304693006826,0.0,1.8067046349800915,48.32594842537906,49.20428736766125,baseline,0.018365657225762482,0.03179538352151364,0.0,35.77708763999664,35.77708763999664,baseline,0.0,0.0,2.823509021254722e-05,2.8235092031536624e-05,7.9806365966796875,0.5226393938064575,-0.0007920274510979652,0.008908834308385849,0.008908834308385849,0.0048828125,0.0048828125,0.0,0.0,0,0.8652169779942046,0.0,0.0,0.13478302200579517,0.13478302200579517,0.08545203717068424,0.0,0.0,0.9145479628293159,0.9145479628293159,0,0.0,0,0,0,1.067309856414795,2.3045032024383545,-0.001348104327917099,0,nan,nan,0,nan,nan,161920,-0.001348104327917099,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
probability,correct,4,0.5,0.008806334808468819,0.0048828125,0.009235618636012077,0.0048828125,0.0,0.04648132891383902,0.0,2.3544238648564764,48.047141529820074,49.20428736766125,baseline,0.02438545626085807,0.04117000755831947,0.0,35.77708763999664,35.77708763999664,baseline,0.0,0.0,2.9642700610565953e-05,2.964269879157655e-05,7.837106227874756,0.4818173050880432,-0.0007976104971021414,0.008806334808468819,0.008806334808468819,0.0048828125,0.0048828125,0.0,0.0,0,0.8942381613307184,0.0,0.0,0.10576183866928152,0.10576183866928152,0.09102539045771174,0.0,0.0,0.9089746095422884,0.9089746095422884,0,0.0,0,0,0,1.0646566152572632,2.305548906326294,-0.0012715378543362021,0,nan,nan,0,nan,nan,161920,-0.0012715378543362021,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
probability,correct,5,0.5,0.00870648305863142,0.0048828125,0.009235618636012077,0.0048828125,0.0,0.05729292191834558,0.0,2.877495048757483,47.77396805130006,49.20428736766125,baseline,0.03035648325020514,0.04998461414049258,0.0,35.77708763999664,35.77708763999664,baseline,0.0,0.0,3.1117255275603384e-05,3.1117255275603384e-05,7.690108776092529,0.4424175024032593,-0.0008109394111670554,0.00870648305863142,0.00870648305863142,0.0048828125,0.0048828125,0.0,0.0,0,0.9168010764783436,0.0,0.0,0.08319892352165635,0.08319892352165635,0.09663498689489591,0.0,0.0,0.9033650131051041,0.9033650131051041,0,0.0,0,0,0,1.061644196510315,2.3069705963134766,-0.0011982953874394298,0,nan,nan,0,nan,nan,161920,-0.0011982953874394298,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
probability,correct,6,0.5,0.008609256707131863,0.0048828125,0.009235618636012077,0.0048828125,0.0,0.06782024611084164,0.0,3.377216001552422,47.5064715732106,49.20428736766125,baseline,0.03626562424547131,0.058273408848226654,0.0,35.77708763999664,35.77708763999664,baseline,0.0,0.0,3.2581807317910716e-05,3.258181095588952e-05,7.53991174697876,0.4056733548641205,-0.0008284184150397778,0.008609256707131863,0.008609256707131863,0.0048828125,0.0048828125,0.0,0.0,0,0.9340531792663135,0.0,0.0,0.0659468207336862,0.0659468207336862,0.10229539904730778,0.0,0.0,0.8977046009526923,0.8977046009526923,0,0.0,0,0,0,1.058300256729126,2.3087430000305176,-0.0011286345543339849,0,nan,nan,0,nan,nan,161920,-0.0011286345543339849,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
probability,correct,7,0.5,0.008514801040291786,0.0048828125,0.009235618636012077,0.0048828125,0.0,0.07804757040417802,0.0,3.8546190508194256,47.24514678843477,49.20428736766125,baseline,0.04209229196416849,0.06607005247336883,0.0,35.77708763999664,35.77708763999664,baseline,0.0,0.0,3.3966254704864696e-05,3.39662583428435e-05,7.386561393737793,0.37222203612327576,-0.0008469198946841061,0.008514801040291786,0.008514801040291786,0.0048828125,0.0048828125,0.0,0.0,0,0.9471318221633139,0.0,0.0,0.052868177836686216,0.052868177836686216,0.10792870001322674,0.0,0.0,0.8920712999867734,0.8920712999867734,0,0.0,0,0,0,1.0546568632125854,2.3108327388763428,-0.001062552211806178,0,nan,nan,0,nan,nan,161920,-0.001062552211806178,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
probability,correct,8,0.5,0.008423374965786934,0.0048828125,0.009235618636012077,0.0048828125,0.0,0.08794686119433237,0.0,4.31050533912457,46.99081849416021,49.20428736766125,baseline,0.047810700199495675,0.07340738294017501,0.0,35.77708763999664,35.77708763999664,baseline,0.0,0.0,3.5211203794460744e-05,3.5211203794460744e-05,7.229949474334717,0.342205673456192,-0.0008638797444291413,0.008423374965786934,0.008423374965786934,0.0048828125,0.0048828125,0.0,0.0,0,0.9570215803456724,0.0,0.0,0.042978419654327936,0.042978419654327936,0.11338568742982313,0.0,0.0,0.8866143125701769,0.8866143125701769,0,0.0,0,0,0,1.0507434606552124,2.3132083415985107,-0.00100009108427912,0,nan,nan,0,nan,nan,161920,-0.00100009108427912,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
probability,correct,9,0.5,0.008335288614034653,0.0048828125,0.009235618636012077,0.0048828125,0.0,0.09748453866065927,0.0,4.745509963026805,46.74447343596493,49.20428736766125,baseline,0.053393092481133525,0.08031703041539438,0.0,35.77708763999664,35.77708763999664,baseline,0.0,0.0,3.6272140278015286e-05,3.627214391599409e-05,7.069819450378418,0.3154751658439636,-0.0008774143643677235,0.008335288614034653,0.008335288614034653,0.0048828125,0.0048828125,0.0,0.0,0,0.9645174098189722,0.0,0.0,0.03548259018102779,0.03548259018102779,0.11845731772774988,0.0,0.0,0.8815426822722503,0.8815426822722503,0,0.0,0,0,0,1.0465902090072632,2.315840005874634,-0.0009413015795871615,0,nan,nan,0,nan,nan,161920,-0.0009413015795871615,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
probability,correct,10,0.5,0.008250854909420013,0.0048828125,0.009235618636012077,0.0048828125,0.0,0.10662672046160657,0.0,5.160121226561522,46.507117697632566,49.20428736766125,baseline,0.05881236461500671,0.08682805346480803,0.0,35.77708763999664,35.77708763999664,baseline,0.0,0.0,3.712261968757957e-05,3.712261968757957e-05,6.905823707580566,0.29175227880477905,-0.000886385387275368,0.008250854909420013,0.008250854909420013,0.0048828125,0.0048828125,0.0,0.0,0,0.9702352579161893,0.0,0.0,0.02976474208381066,0.02976474208381066,0.12288685464820102,0.0,0.0,0.8771131453517992,0.8771131453517992,0,0.0,0,0,0,1.0422264337539673,2.3186960220336914,-0.0008860688540153205,0,nan,nan,0,nan,nan,161920,-0.0008860688540153205,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
