step,t,w_t,geo_loss,grad_norm,prior_velocity_norm,guided_velocity_norm
0,0.0,0.0,4.777985572814941,0.04874247685074806,2050.7119140625,2050.7119140625
1,0.03125,0.0,4.761505603790283,0.0506826750934124,2034.6685791015625,2034.6685791015625
2,0.0625,0.0,4.74320125579834,0.05276651307940483,2033.5118408203125,2033.5118408203125
3,0.09375,0.0,4.722719669342041,0.0550227127969265,2030.9710693359375,2030.9710693359375
4,0.125,0.0,4.699845314025879,0.05747012421488762,2031.9091796875,2031.9091796875
5,0.15625,0.0,4.674088954925537,0.06013498827815056,2034.08642578125,2034.08642578125
6,0.1875,0.0,4.644975662231445,0.06304780393838882,2030.2430419921875,2030.2430419921875
7,0.21875,0.0,4.611994743347168,0.06623581796884537,2031.322021484375,2031.322021484375
8,0.25,0.0,4.574440002441406,0.06974446028470993,2031.695068359375,2031.695068359375
9,0.28125,0.0,4.5314621925354,0.07362128049135208,2030.043701171875,2030.043701171875
10,0.3125,0.0,4.481912136077881,0.0779227539896965,2035.4183349609375,2035.4183349609375
11,0.34375,0.0,4.424107074737549,0.08273185044527054,2032.7567138671875,2032.7567138671875
12,0.375,0.0,4.356480598449707,0.08809947222471237,2028.431640625,2028.431640625
13,0.40625,0.0,4.276696681976318,0.09409134089946747,2025.7078857421875,2025.7078857421875
14,0.4375,0.0,4.182187080383301,0.10080220550298691,2025.2127685546875,2025.2127685546875
15,0.46875,0.0,4.069180011749268,0.10836631804704666,2016.7884521484375,2016.7884521484375
16,0.5,0.0,3.933711051940918,0.11690525710582733,2025.5904541015625,2025.5904541015625
17,0.53125,0.00390625,3.768831253051758,0.12657000124454498,2022.6767578125,2022.6767578125
18,0.5625,0.015625,3.567883253097534,0.13706690073013306,2031.458984375,2031.458984375
19,0.59375,0.03515625,3.3205296993255615,0.14800192415714264,2022.14306640625,2022.14306640625
20,0.625,0.0625,3.0186243057250977,0.1591506451368332,2017.9852294921875,2017.9852294921875
21,0.65625,0.09765625,2.6522481441497803,0.17051078379154205,2035.2093505859375,2035.2093505859375
22,0.6875,0.140625,2.211360454559326,0.18038184940814972,2026.289306640625,2026.289306640625
23,0.71875,0.19140625,1.7062857151031494,0.1832059919834137,2032.6795654296875,2032.6795654296875
24,0.75,0.25,1.1731575727462769,0.17324867844581604,2031.6712646484375,2031.6712646484375
25,0.78125,0.31640625,0.6879337430000305,0.15418916940689087,2023.65380859375,2023.65380859375
26,0.8125,0.390625,0.34989914298057556,0.12671950459480286,2042.838623046875,2042.838623046875
27,0.84375,0.47265625,0.22124427556991577,0.08232080191373825,2036.6324462890625,2036.6324462890625
28,0.875,0.5625,0.2108321338891983,0.020073022693395615,2055.795166015625,2055.795166015625
29,0.90625,0.66015625,0.21263985335826874,0.003956318367272615,2074.244873046875,2074.244873046875
30,0.9375,0.765625,0.21257859468460083,0.0018623777432367206,2089.50244140625,2089.50244140625
31,0.96875,0.87890625,0.21213500201702118,0.0013484470546245575,2162.79931640625,2162.79931640625
0,0.0,0.0,4.776943206787109,0.04748067259788513,2051.37255859375,2051.37255859375
1,0.03125,0.0,4.758986473083496,0.0493449941277504,2035.485595703125,2035.485595703125
2,0.0625,0.0,4.739086151123047,0.05134505406022072,2034.3712158203125,2034.3712158203125
