branch_id,probe_kind,generation,proposal_index,child_state_id,parent_state_id,ranking_id,rank_index,canonical_center_score,center_x,center_y,center_z,shape,material_label,orientation_deg,full_size_x,full_size_y,full_size_z,scale_index,scale,probe_size_x,probe_size_y,probe_size_z,hard_rmse,delta_rmse_vs_parent,delta_rmse_vs_empty,hard_loss_improving_vs_parent,condition_violations,continuation_authorized,next_scale,termination,truth_used
branch_a5aed6f168b88eb3889f,new_center,1,0,g001_p000000_empty,empty,g001_b7e43f1d75130653_0000,0,0.0,4.0,4.0,6.0,dike_hemisphere,9,105.06689500971473,11.130653605266843,13.26362719440826,10.740188329029966,0,0.25,2.782663401316711,3.315906798602065,2.6850470822574914,0.0030355886556208134,0.0016801418969407678,0.0016801418969407678,False,0,False,,terminated_non_improving_hard_step,False
branch_3199f3d10f682998a65e,new_center,1,1,g001_p000001_empty,empty,g001_b7e43f1d75130653_0000,1,0.0,4.0,4.0,7.0,dike_hemisphere,9,35.82778729451044,9.362711293297336,15.281171323391032,13.709995396428752,0,0.25,2.340677823324334,3.820292830847758,3.427498849107188,0.0024971370585262775,0.001141690299846232,0.001141690299846232,False,0,False,,terminated_non_improving_hard_step,False
branch_c5b6b0c387ae1629935c,new_center,1,2,g001_p000002_empty,empty,g001_b7e43f1d75130653_0000,2,0.0,4.0,4.0,8.0,dike_hemisphere,9,49.01488072582643,6.2415666988930445,11.77849865016452,6.968794592868026,0,0.25,1.5603916747232611,2.94462466254113,1.7421986482170064,0.0017029406735673547,0.0003474939148873091,0.0003474939148873091,False,0,False,,terminated_non_improving_hard_step,False
branch_c42e968a6fc38f6b9eac,new_center,1,3,g001_p000003_empty,empty,g001_b7e43f1d75130653_0000,3,0.0,4.0,4.0,9.0,ellipsoid,9,55.36908702751661,9.230824813544787,6.934960563263923,10.982392530275137,0,0.25,2.307706203386197,1.7337401408159807,2.745598132568784,0.0021319712977856398,0.0007765245391055942,0.0007765245391055942,False,0,False,,terminated_non_improving_hard_step,False
branch_285955bc001f87376df6,new_center,1,4,g001_p000004_empty,empty,g001_b7e43f1d75130653_0000,4,0.0,4.0,4.0,10.0,dike_hemisphere,9,70.1575404132806,7.149146866812255,10.362288145253302,12.811821660156152,0,0.25,1.7872867167030637,2.5905720363133256,3.202955415039038,0.0019213896011933684,0.0005659428425133228,0.0005659428425133228,False,0,False,,terminated_non_improving_hard_step,False
branch_2a158798b51038a69553,new_center,1,5,g001_p000005_empty,empty,g001_b7e43f1d75130653_0000,5,0.0,4.0,4.0,11.0,dike_hemisphere,9,14.96825065390393,7.0358743255990435,13.01048856687095,13.748950923758187,0,0.25,1.7589685813997609,3.2526221417177377,3.4372377309395468,0.0019213896011933684,0.0005659428425133228,0.0005659428425133228,False,0,False,,terminated_non_improving_hard_step,False
branch_1c9fabd3d8af103e4aa0,new_center,1,6,g001_p000006_empty,empty,g001_b7e43f1d75130653_0000,6,0.0,4.0,4.0,12.0,dike_hemisphere,9,87.60234051138478,12.873879228621735,13.892721441198542,11.103416575824955,0,0.25,3.218469807155434,3.4731803602996356,2.7758541439562388,0.0027400129474699497,0.0013845661887899041,0.0013845661887899041,False,0,False,,terminated_non_improving_hard_step,False
branch_93847f6e997978c2d112,new_center,1,7,g001_p000007_empty,empty,g001_b7e43f1d75130653_0000,7,0.0,4.0,4.0,13.0,ellipsoid,9,48.42125882648074,15.162418769794593,9.93638631247521,10.15382794628593,0,0.25,3.7906046924486483,2.4840965781188027,2.5384569865714823,0.0029658698476850986,0.001610423089005053,0.001610423089005053,False,0,False,,terminated_non_improving_hard_step,False
branch_352f66057092e2b4b870,new_center,1,8,g001_p000008_empty,empty,g001_b7e43f1d75130653_0000,8,0.0,4.0,4.0,14.0,ellipsoid,9,57.00647101209065,8.200017659354108,12.237932925006314,7.288676725363943,0,0.25,2.050004414838527,3.0594832312515785,1.8221691813409857,0.003045756136998534,0.0016903093783184886,0.0016903093783184886,False,0,False,,terminated_non_improving_hard_step,False
branch_a5f50fe9fe82a16d9616,new_center,1,9,g001_p000009_empty,empty,g001_b7e43f1d75130653_0000,9,0.0,4.0,4.0,15.0,dike_hemisphere,9,149.53207676896727,12.14389253980212,8.65579442964648,7.0254230294058955,0,0.25,3.03597313495053,2.16394860741162,1.7563557573514739,0.002674151910468936,0.0013187051517888904,0.0013187051517888904,False,0,False,,terminated_non_improving_hard_step,False
branch_0472c54bed9879ae0540,new_center,1,10,g001_p000010_empty,empty,g001_b7e43f1d75130653_0000,10,0.0,4.0,4.0,16.0,dike_hemisphere,9,126.25815346725797,7.42690749400205,10.353785693722177,6.45070448275783,0,0.25,1.8567268735005125,2.588446423430544,1.6126761206894575,0.0017029406735673547,0.0003474939148873091,0.0003474939148873091,False,0,False,,terminated_non_improving_hard_step,False
