candidate_id,hard_seismic_rmse,rank,observation,observation_sha256,predicted_observation_sha256,hard_model_sha256,condition_violations
candidate_000066,0.029306024312973022,1,zero,881162049a8d41cfb41aaf8850e3cb4f5cc81f21b51aff8c260c035eeb0e75d0,c30975513a7bc435bf9697f91863d5095becd59d4a79454025520c87f1dc0e92,1e715b49b43924aeeafbd77af4af96b0a30c023d35157172c9c0c56b615456a6,0
candidate_000470,0.02953983098268509,2,zero,881162049a8d41cfb41aaf8850e3cb4f5cc81f21b51aff8c260c035eeb0e75d0,a5e21d5bb7e627d9425add14b8289803ebb6d73c5cbe601a751f704ae1368037,ce796f02f1dd974097d64b79018c1e48e5a16dadc3df1d887c40c7e9f5e20da5,0
candidate_000028,0.029648786410689354,3,zero,881162049a8d41cfb41aaf8850e3cb4f5cc81f21b51aff8c260c035eeb0e75d0,bc8fd948a2fb3a4742538e7239656d3909688d2c120e9c8501a4aa28d0594fa3,f3057cc6912a38175c37a156b3dc8c1a4758498d9175230c04d4ccd602efc728,0
candidate_000647,0.030284631997346878,4,zero,881162049a8d41cfb41aaf8850e3cb4f5cc81f21b51aff8c260c035eeb0e75d0,e222fa22b657b944df3e3f9cf9f23a945a4364e29594d7b044780914fb78a261,b57c13fbe93ada12b6e601159eabe3d509b8ddd546dc0da7dc1170b1110575d2,0
candidate_000964,0.030837392434477806,5,zero,881162049a8d41cfb41aaf8850e3cb4f5cc81f21b51aff8c260c035eeb0e75d0,892219b4fdd60bcf81bacf700e7259d4fad32b700308f6fbfad65836d42024d0,2df74f274d38ba3ea22ea0ead2a67c514afc074f1e973f603bb7740a0a6f5560,0
candidate_000796,0.03093319572508335,6,zero,881162049a8d41cfb41aaf8850e3cb4f5cc81f21b51aff8c260c035eeb0e75d0,1c5d9f8360fc69c365ec791fbcdd4a3e5ca8ad30a4445866835a3bd216451556,2854531c94099c39e57098b74f084d4b7820eddd2d13e8ff228355ee22e3a03d,0
candidate_000222,0.030958622694015503,7,zero,881162049a8d41cfb41aaf8850e3cb4f5cc81f21b51aff8c260c035eeb0e75d0,8b46d16152a5ed09f2df03eb6ab025a700722fb6339d8b5e6689d9bda0e97dbf,630cd647dfa81dd648337904ab351a30e2f000cce2bf40edd65dfbb5e3ea53b5,0
candidate_001004,0.030989214777946472,8,zero,881162049a8d41cfb41aaf8850e3cb4f5cc81f21b51aff8c260c035eeb0e75d0,ac1942fd8b7a8661670b690f6c9b0d5b6f47d91472d20782fbdf83030b6f6816,1985ab565c1bb24d62ac257ecc2ce936481c617a3fad7502fabb6184336d5e8f,0
candidate_000463,0.031968552619218826,9,zero,881162049a8d41cfb41aaf8850e3cb4f5cc81f21b51aff8c260c035eeb0e75d0,0bbfd090b90cd044f2c9f30024646df15fbe54b0375db8e20488dc7cd422248a,46ba5936aa4fd3ea78bc7f22760b0a9aee87a86d71200ad5c4b9ea86c60d8dd9,0
candidate_000216,0.03231178969144821,10,zero,881162049a8d41cfb41aaf8850e3cb4f5cc81f21b51aff8c260c035eeb0e75d0,32c9474135d9888358ae2ae6aa2ce755cc0f7dbc4c42ca6be1cb38fd66913114,0242d072f56a2bc10bd2ce2b8e7e9aa9ec6e1420b33e3cec5c56a18300037b8c,0
candidate_000616,0.03263892978429794,11,zero,881162049a8d41cfb41aaf8850e3cb4f5cc81f21b51aff8c260c035eeb0e75d0,3d237dbcf6745db52ef1396d185f79c61c33b96c568980df52c64e98bbd93dce,d3a162270fa66a81bbf406279528a4e2ef6c46aa02690d02d95ef18e6eb4b85a,0
candidate_000876,0.03266238048672676,12,zero,881162049a8d41cfb41aaf8850e3cb4f5cc81f21b51aff8c260c035eeb0e75d0,ae28d7f88494c7975cf52d498ee3afe2a6789928a737f217cb80685ac2a47acd,f59010295e9224fee35e94bd459dafb654c591078fa7291ede23483e6d4dc1cc,0
candidate_000135,0.03279512748122215,13,zero,881162049a8d41cfb41aaf8850e3cb4f5cc81f21b51aff8c260c035eeb0e75d0,47ae52937cebbfa410306a056fc114e4e3953d344903c6b980b61efc07e87b46,30ffc10e599e2b24250cc5de9fe381893b9362345273e6658ee6861d0ca444d9,0
candidate_001003,0.0331515371799469,14,zero,881162049a8d41cfb41aaf8850e3cb4f5cc81f21b51aff8c260c035eeb0e75d0,8b44d7fe6c54f8b2d8ff9bbfab605506bd1ba6527a036cb2f2e502035d10222c,69f96b568989448e84e5878563ac42617fe026d09748e1828f86eec7e61d5b6d,0
candidate_000428,0.03355947136878967,15,zero,881162049a8d41cfb41aaf8850e3cb4f5cc81f21b51aff8c260c035eeb0e75d0,7c886812be5c2d88b154a13e8e10fb4b664aa35569d20441fecbb9cc8194d9b7,998da42fd81d5f52d8bbf936f9d0c7b3b6fb11e5b8700066e0507c0794efa286,0
candidate_000968,0.0336519330739975,16,zero,881162049a8d41cfb41aaf8850e3cb4f5cc81f21b51aff8c260c035eeb0e75d0,62e102bd421eb036888d6eca90a0d7213e0474497f174d8d0c53ce8a5780720c,43018fa8372e64e85e4e8c1ce53f0ecd08efc5c3c8f0e5d8428297614b841732,0
candidate_000055,0.0337771438062191,17,zero,881162049a8d41cfb41aaf8850e3cb4f5cc81f21b51aff8c260c035eeb0e75d0,a6529a9029a43bdced7d520007b9e17409b494c12004a5af2ff1213a0bde7f9b,90a3dd84f0160ae947e1a99e1deb297f04ee08de087c9bbf258015fb2b88dd0f,0
candidate_000832,0.03382093831896782,18,zero,881162049a8d41cfb41aaf8850e3cb4f5cc81f21b51aff8c260c035eeb0e75d0,55601a05939f41c65c6614b4912707dfb02c7f61f6cc4a382110ed5bcb033231,5ad58fda3c450d7c103ae70752871bf6825fa366eedc27a05d32597af57e7cbe,0
candidate_000671,0.03410020470619202,19,zero,881162049a8d41cfb41aaf8850e3cb4f5cc81f21b51aff8c260c035eeb0e75d0,291009682beb304d1ade6d4aa905d084208ec612af0fd0995911956713222262,077bf1c3d5ed30d0d650bf72734422a794f17d4986d26b60d1cf5672415cb13b,0
candidate_001020,0.03416408225893974,20,zero,881162049a8d41cfb41aaf8850e3cb4f5cc81f21b51aff8c260c035eeb0e75d0,4ab69f0dd3178a195a48583d189e6daa0a855ed94051725e810a1b790150ebd5,3aeea184ad87a2a1db9159c3f93b86f1d1ddc51788801b7383765fdc60544edc,0
candidate_000776,0.03437168896198273,21,zero,881162049a8d41cfb41aaf8850e3cb4f5cc81f21b51aff8c260c035eeb0e75d0,9e68370a043fd13be6fba3afb560b019f739b7c2e86b2920e53bde48f06cd0e0,59da2feb525d1feb51443278a254e17af44ec2a0b5a0857de034dfcc6b200937,0
candidate_000641,0.03442535176873207,22,zero,881162049a8d41cfb41aaf8850e3cb4f5cc81f21b51aff8c260c035eeb0e75d0,0a228ed1335260efd2892ce4526d8eef1f1bb6341506cc0929816c2190e4d637,617efc60e232a3841e138e8f393718307ece388e9da326d7a7eb64ca199ffb0b,0
